Set Point (C),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140
30,-3991.028,-4315.723,-4666.455,-5045.65,-5455.005,-5896.323,-6372.954,-6886.469,-7340.12,-7945.523,-8596.357,-9296.063,-10048.43,-10856.51,-11722.86,-12643.95,-13636.44,-14694.66,-15826.45,-17023.43,-18291.77,-19645.19,-21082.88,-22611.75,-24217.1,-25915.5,-27701.91,-29579.64,-31538.89,-33590.19,-35735.33,-37950.33,-40235.57,-42593.76,-45032.91,-47521.2,-50063.94,-52665.05,-55260.88,-57896.69,-60535.51,-63194.35,-65833.98,-68432.55,-70970.39,-73507.27,-75960.46,-78315.14,-80618.65,-82827.98,-84978.03,-87032.79,-88940.31,-90694.61,-92378.26,-93948.4,-95435.2,-96738.21,-97980.41,-99089.79,-100140.1,-101001.1,-101855.0,-102517.7,-103168.0,-103698.4,-104078.8,-104242.2,-104613.2,-104774.5,-104830.7,-105065.6,-105002.3,-104886.0,-104590.6,-104344.5,-104124.6,-103447.6,-103309.6,-101691.4,-101280.3,-101227.6,-100136.0,-99195.66,-96595.23,-95367.04,-93596.71,-92684.5,-91797.76,-89968.66,-89458.34,-88727.05,-88342.42,-87454.19,-86739.38,-85515.98,-84606.18,-84012.96,-83597.91,-82807.6,-81824.84,-81271.05,-80465.14,-79101.09,-78866.27,-78452.58,-77135.48,-76781.4,-77218.19,-76205.09,-75942.17,-76125.79,-76896.39,-77339.8,-77828.64,-77343.8,-78079.39,-78528.41,-78850.65,-79460.42,-80660.5,-80852.54,-81345.07,-81739.86,-82331.15,-82890.79,-82789.59,-83814.01,-83931.25,-84601.92,-84427.64,-83974.65,-84090.43,-85254.21,-85812.8,-87524.31,-85767.12,-85453.24,-85475.71,-86045.0,-84432.33
40,-3573.244,-3875.448,-4203.37,-4559.11,-4944.37,-5361.535,-5813.255,-6302.078,-6830.901,-7321.163,-7944.306,-8617.141,-9340.676,-10119.56,-10956.86,-11852.33,-12813.99,-13841.69,-14943.0,-16108.92,-17344.94,-18662.58,-20063.69,-21547.03,-23109.18,-24753.16,-26478.52,-28290.22,-30165.1,-32117.0,-34144.38,-36224.95,-38348.0,-40521.09,-42727.25,-44959.81,-47198.27,-49452.33,-51666.79,-53875.04,-56046.23,-58182.87,-60272.63,-62302.85,-64243.88,-66176.67,-68032.52,-69805.66,-71567.03,-73272.85,-74938.56,-76603.3,-78230.66,-79826.19,-81437.43,-83014.19,-84640.63,-86185.68,-87748.39,-89285.8,-90840.92,-92276.78,-93705.41,-94981.09,-96223.63,-97322.97,-98197.03,-98843.43,-99298.24,-99516.52,-99473.37,-99230.06,-98525.73,-97487.66,-96094.87,-94507.03,-90728.73,-86726.38,-84577.52,-82645.34,-79375.99,-76839.89,-74207.78,-71810.25,-69239.13,-66593.66,-64620.51,-62147.19,-59916.39,-57579.7,-55554.78,-53615.07,-51684.07,-50049.76,-48111.86,-46549.22,-45034.05,-43822.33,-42914.66,-41698.18,-40239.71,-38720.0,-38081.99,-36952.0,-36323.62,-35230.23,-35453.64,-35232.18,-35289.44,-34740.66,-34523.75,-33994.83,-33975.95,-33690.08,-33739.3,-31985.28,-31614.74,-31930.88,-31672.56,-32726.83,-32378.73,-33244.66,-33126.87,-33367.0,-32816.89,-33643.48,-32812.67,-32803.08,-33282.09,-34160.25,-35167.29,-35839.34,-36052.18,-37342.74,-37413.79,-37407.29,-36423.59,-36884.8,-37881.14,-37819.45,-37076.84
50,-3418.867,-3715.663,-4038.092,-4388.665,-4768.885,-5180.934,-5627.758,-6111.662,-6636.452,-7203.349,-7746.086,-8412.803,-9132.095,-9905.163,-10735.79,-11622.08,-12577.92,-13595.53,-14684.16,-15836.05,-17052.08,-18345.67,-19717.17,-21166.37,-22684.64,-24275.83,-25937.76,-27671.86,-29456.03,-31303.25,-33203.15,-35141.44,-37096.43,-39078.71,-41069.55,-43067.46,-45048.64,-47014.38,-48925.64,-50801.39,-52626.85,-54404.53,-56130.6,-57788.95,-59365.89,-60930.69,-62439.1,-63884.67,-65325.37,-66738.71,-68145.65,-69573.84,-70935.64,-72399.98,-73834.46,-75291.96,-76782.77,-78216.84,-79681.67,-81125.95,-82587.05,-83906.16,-85245.65,-86428.78,-87535.3,-88482.25,-89148.31,-89594.02,-89798.85,-89738.84,-89398.95,-88808.38,-87733.91,-86392.25,-84467.8,-82492.99,-80457.55,-77886.52,-75282.38,-72544.65,-69940.6,-67011.5,-64121.43,-61470.5,-57484.19,-56028.04,-53767.08,-51555.86,-49258.67,-47013.07,-45078.75,-42779.29,-41303.89,-39840.96,-38096.35,-36738.71,-34021.82,-32902.36,-31798.22,-31008.27,-30221.89,-29084.41,-28829.27,-28207.56,-27377.94,-27002.99,-26967.95,-26702.12,-26524.64,-26322.95,-26060.52,-25700.82,-25754.71,-25584.11,-25652.32,-25713.6,-25980.89,-26014.25,-25918.28,-26133.57,-26350.98,-26778.99,-27089.43,-27050.67,-27268.14,-27400.55,-27712.49,-28161.89,-28325.23,-28858.05,-29248.46,-29395.19,-29433.99,-29976.93,-29750.14,-30101.61,-28806.94,-29983.75,-30333.57,-29971.78,-30370.07
60,-3186.341,-3468.285,-3774.681,-4108.064,-4469.581,-4861.672,-5286.586,-5746.652,-6244.618,-6784.184,-7365.166,-7931.999,-8612.117,-9341.519,-10122.94,-10956.8,-11846.38,-12793.41,-13800.31,-14859.49,-15973.27,-17147.57,-18377.38,-19666.05,-21007.76,-22391.48,-23819.05,-25287.58,-26773.07,-28286.36,-29818.16,-31342.35,-32849.33,-34345.71,-35813.91,-37255.07,-38642.79,-40003.55,-41273.12,-42510.79,-43695.51,-44821.38,-45918.18,-46962.61,-47949.77,-48952.38,-49918.81,-50857.15,-51826.07,-52791.91,-53783.49,-54804.95,-55831.92,-56850.63,-57899.0,-58937.42,-60041.54,-61105.51,-62159.05,-63112.92,-64073.43,-64832.7,-65640.01,-66279.3,-66757.45,-66788.98,-66702.91,-66634.41,-66199.32,-65297.27,-64253.6,-63044.09,-61447.39,-59745.36,-57758.16,-55513.83,-53472.21,-51156.51,-48897.89,-46419.28,-44293.91,-41734.61,-39775.78,-38075.32,-36119.03,-34110.61,-32360.76,-30867.3,-29423.58,-28146.67,-27083.1,-25981.6,-25008.62,-23742.15,-22808.36,-21983.22,-21218.6,-20241.9,-18582.2,-17937.91,-17607.7,-17632.98,-17198.94,-16720.12,-16666.86,-16156.75,-16069.89,-15831.45,-15959.47,-16014.14,-15577.36,-15457.81,-15562.31,-16036.45,-15798.54,-15767.81,-16068.18,-16296.87,-16603.71,-17006.1,-17420.87,-17416.75,-17824.63,-18236.6,-17513.46,-17700.7,-17783.65,-17900.43,-18688.95,-18479.5,-19393.99,-18280.53,-19446.48,-20748.51,-19662.59,-20718.73,-21179.63,-21556.21,-21162.76,-21198.15,-21285.59
70,-3009.214,-3275.932,-3568.071,-3892.438,-4234.542,-4605.763,-5009.252,-5446.145,-5919.826,-6431.295,-6977.577,-7511.763,-8149.687,-8846.77,-9586.099,-10351.58,-11180.95,-12056.69,-12995.38,-13968.03,-14983.67,-16049.23,-17142.77,-18299.2,-19478.32,-20679.62,-21882.83,-23130.89,-24375.53,-25639.5,-26851.75,-28079.04,-29244.24,-30361.65,-31463.88,-32530.65,-33500.18,-34448.61,-35353.47,-36203.57,-37005.54,-37771.19,-38523.89,-39272.57,-39947.21,-40667.41,-41371.74,-42006.14,-42780.13,-43584.41,-44374.75,-45203.04,-46002.41,-46783.45,-47644.16,-48432.79,-49335.53,-50083.56,-50828.26,-51455.94,-52130.67,-52561.75,-52830.08,-53153.25,-53383.64,-53282.68,-52490.78,-51607.56,-50759.07,-49317.7,-47902.55,-46600.69,-45009.29,-43245.45,-41225.52,-39180.93,-37287.9,-35572.02,-33877.91,-31859.13,-30441.29,-28323.72,-26887.17,-25473.3,-23935.59,-22503.2,-21041.21,-20269.76,-19319.19,-18278.77,-17462.04,-16722.06,-16029.89,-15404.32,-14792.34,-14282.43,-13761.42,-13238.31,-12955.68,-12439.51,-12190.65,-12008.79,-11853.47,-11697.72,-11730.62,-11623.7,-11404.22,-11318.33,-11433.51,-11476.16,-11426.16,-11369.08,-11435.86,-11458.74,-11528.31,-11508.98,-11611.12,-11691.93,-11954.69,-11896.0,-12078.85,-12128.1,-12188.63,-12370.71,-12521.7,-12705.5,-12572.67,-12679.58,-12747.38,-12807.86,-13345.76,-13075.2,-13023.12,-13699.7,-13518.34,-13471.38,-13983.03,-13912.35,-13771.65,-13874.47,-13592.69
80,-2818.345,-3073.108,-3348.105,-3648.763,-3973.353,-4324.563,-4703.809,-5112.793,-5555.55,-6030.206,-6541.531,-7089.661,-7625.415,-8254.756,-8923.723,-9625.579,-10375.48,-11160.71,-11984.31,-12837.18,-13718.42,-14633.21,-15572.16,-16531.98,-17505.26,-18480.71,-19458.2,-20431.01,-21377.95,-22306.76,-23213.81,-24076.49,-24893.44,-25668.97,-26398.93,-27080.43,-27714.11,-28320.78,-28877.79,-29416.5,-29937.18,-30433.54,-30928.96,-31413.82,-31886.91,-32397.67,-32909.2,-33411.58,-33955.15,-34490.97,-35024.88,-35571.52,-36117.5,-37036.06,-37793.25,-38349.9,-38894.34,-39467.38,-39974.92,-40383.0,-40624.11,-40846.21,-40807.73,-40631.81,-40466.37,-39849.32,-39093.79,-38166.9,-37360.69,-36041.38,-34743.71,-33341.0,-31770.66,-30354.28,-28825.24,-27077.49,-25700.83,-24129.95,-22724.12,-20752.07,-19238.85,-18021.59,-16825.25,-15927.42,-15694.69,-14501.43,-13907.06,-12628.41,-12054.88,-11612.9,-11221.0,-10616.96,-10247.95,-9725.438,-9402.228,-9035.511,-8679.91,-8410.294,-8257.116,-8215.757,-8105.648,-8037.653,-7694.891,-7539.184,-7478.669,-7682.549,-7812.643,-7679.938,-7737.477,-7787.148,-7858.63,-7908.637,-7812.702,-7760.644,-7705.619,-7648.371,-7775.143,-7965.231,-8064.064,-8214.036,-8105.959,-8192.369,-8511.147,-8577.452,-8431.999,-8542.439,-8694.162,-8703.661,-8726.056,-8904.474,-9117.75,-8904.42,-9195.924,-9519.335,-8920.192,-9571.395,-9549.954,-9741.661,-9234.396,-9729.447,-9672.362
90,-2666.134,-2907.726,-3169.346,-3453.156,-3759.964,-4091.301,-4448.217,-4832.8,-5246.765,-5690.421,-6165.537,-6673.302,-7213.69,-7740.588,-8350.878,-8994.104,-9662.622,-10364.31,-11095.15,-11843.66,-12609.92,-13394.06,-14191.79,-14998.66,-15802.66,-16599.97,-17378.91,-18145.02,-18882.39,-19587.79,-20274.73,-20890.89,-21474.41,-22003.55,-22532.13,-22983.72,-23423.32,-23836.83,-24212.34,-24569.48,-24925.72,-25269.36,-25631.56,-25967.37,-26322.51,-26707.09,-27056.31,-27448.45,-27848.36,-28252.6,-28693.33,-29086.64,-29498.15,-29917.23,-30260.41,-30456.34,-30908.07,-31156.62,-31276.39,-31335.16,-31257.43,-31053.53,-30695.75,-30180.48,-29471.49,-28662.15,-27755.93,-26673.52,-25596.91,-24411.41,-23141.99,-21860.34,-20810.63,-19653.94,-18429.62,-17310.31,-16309.31,-15097.84,-14211.4,-13316.88,-12507.03,-11698.27,-11063.14,-10282.28,-9529.622,-9124.402,-8521.935,-7739.791,-7413.019,-7097.975,-6897.838,-6673.352,-6483.654,-6283.129,-6165.508,-5970.299,-5795.159,-5675.618,-5578.179,-5539.398,-5431.581,-5411.289,-5391.756,-5349.248,-5361.0,-5373.521,-5374.112,-5175.666,-5245.902,-5299.413,-5367.354,-5321.87,-5448.782,-5513.699,-5482.063,-5475.761,-5637.587,-5641.748,-5689.944,-5850.878,-5906.43,-5791.354,-5938.792,-5939.301,-5887.327,-5743.141,-5557.869,-5971.088,-5902.721,-6397.79,-6420.401,-6473.983,-6427.507,-6726.514,-6650.271,-6719.059,-6887.397,-7264.865,-7210.708,-7293.555,-7257.605
100,-2519.96,-2747.688,-2993.912,-3260.418,-3549.794,-3859.318,-4191.434,-4548.145,-4929.793,-5337.492,-5771.347,-6232.33,-6719.773,-7233.776,-7773.955,-8291.964,-8881.347,-9486.069,-10108.77,-10737.27,-11372.11,-12012.44,-12651.35,-13284.16,-13904.04,-14497.26,-15074.34,-15627.62,-16138.0,-16611.88,-17069.81,-17476.72,-17845.95,-18175.42,-18479.8,-18766.94,-19025.26,-19282.04,-19491.87,-19721.93,-19952.13,-20195.08,-20426.87,-20663.21,-20912.46,-21176.34,-21474.74,-21730.84,-22023.1,-22331.17,-22619.03,-22914.5,-23173.22,-23409.48,-23582.57,-23731.08,-23841.2,-23826.46,-23716.71,-23528.32,-23250.35,-22822.75,-22276.02,-21646.65,-20955.33,-20137.09,-19263.54,-18347.02,-17365.47,-16408.46,-15415.47,-14539.25,-13639.61,-12843.43,-12028.62,-11299.71,-10694.81,-10004.47,-9428.63,-8844.215,-8308.662,-7763.862,-7356.366,-6936.077,-6519.656,-6224.629,-5988.439,-5769.022,-5460.136,-5244.547,-5022.537,-4901.956,-4764.03,-4622.575,-4542.948,-4333.604,-4113.384,-3877.865,-3857.573,-3776.061,-3814.182,-3837.938,-3696.21,-3513.283,-3708.593,-3526.844,-3623.2,-3588.093,-3558.085,-3583.974,-3582.162,-3855.074,-3858.317,-3914.644,-3879.486,-3861.54,-3890.699,-4018.149,-3989.509,-4052.456,-4098.942,-4224.409,-4225.1,-4250.789,-4165.363,-4309.478,-4280.289,-4349.443,-4414.85,-4620.414,-4579.09,-4525.294,-4676.613,-4988.94,-4841.404,-5085.303,-5121.384,-5331.732,-5131.523,-5382.506,-5400.453
110,-2378.43,-2592.104,-2822.049,-3070.161,-3336.56,-3621.93,-3927.463,-4253.208,-4600.209,-4968.456,-5357.078,-5767.571,-6198.813,-6647.968,-7116.042,-7597.039,-8051.781,-8557.012,-9069.672,-9579.895,-10084.67,-10585.95,-11074.49,-11554.78,-12009.35,-12441.76,-12844.8,-13224.02,-13569.86,-13886.77,-14189.65,-14446.18,-14683.9,-14893.95,-15090.62,-15273.86,-15447.47,-15620.03,-15776.37,-15944.54,-16114.18,-16298.22,-16459.49,-16648.37,-16858.44,-17064.34,-17292.05,-17489.42,-17693.73,-17764.56,-17908.33,-18042.54,-18233.54,-18287.17,-18326.86,-18335.61,-18237.76,-18038.18,-17773.84,-17430.39,-17042.57,-16522.11,-15970.92,-15340.56,-14706.21,-14008.95,-13298.41,-12544.91,-11877.1,-11157.59,-10490.47,-9877.435,-9282.443,-8704.192,-8158.776,-7624.536,-7166.861,-6712.344,-6355.977,-5957.54,-5654.911,-5340.842,-4924.32,-4561.875,-4307.723,-4160.971,-4126.689,-3782.419,-3607.465,-3482.999,-3321.713,-3241.246,-3183.791,-3103.852,-2967.341,-2907.447,-2877.122,-2875.808,-2867.501,-2872.913,-2847.024,-2843.664,-2845.615,-2826.325,-2845.454,-2807.886,-2798.973,-2816.186,-2875.278,-2842.838,-2860.743,-2882.367,-2852.814,-2951.178,-2973.455,-3005.402,-3094.737,-3074.534,-3064.816,-3100.289,-3270.091,-3301.21,-3272.577,-3113.93,-3189.897,-3327.683,-3337.318,-3274.527,-3445.983,-3478.77,-3596.226,-3501.102,-3763.934,-3796.448,-3948.721,-4071.138,-3973.132,-4095.334,-4148.751,-4208.55,-4137.346
120,-2253.716,-2453.216,-2667.735,-2898.322,-3144.918,-3408.169,-3689.993,-3987.332,-4302.039,-4634.13,-4981.899,-5346.481,-5725.081,-6117.354,-6520.487,-6928.541,-7346.538,-7729.333,-8151.296,-8562.349,-8963.475,-9354.987,-9732.564,-10096.1,-10434.4,-10751.1,-11042.92,-11315.8,-11560.4,-11779.33,-11988.67,-12171.37,-12335.37,-12482.55,-12628.03,-12766.28,-12896.4,-13042.71,-13166.78,-13306.38,-13450.78,-13598.01,-13757.22,-13847.88,-13973.61,-14154.08,-14327.38,-14484.42,-14702.38,-14759.47,-14886.37,-14928.49,-14949.22,-14941.21,-14844.16,-14704.53,-14553.56,-14266.9,-13924.39,-13431.42,-13052.29,-12577.57,-12085.89,-11511.67,-10905.86,-10273.05,-9712.945,-9167.641,-8618.886,-8093.293,-7581.018,-7130.977,-6711.673,-6307.657,-5918.387,-5559.527,-5263.364,-4937.856,-4686.697,-4459.169,-4248.538,-4013.645,-3813.16,-3691.838,-3525.205,-3338.056,-3111.288,-2996.046,-2945.737,-2869.593,-2764.905,-2719.839,-2704.831,-2667.164,-2606.63,-2559.134,-2572.386,-2486.529,-2423.906,-2465.457,-2471.824,-2450.653,-2439.582,-2429.764,-2404.068,-2337.104,-2343.063,-2366.886,-2394.098,-2389.173,-2390.149,-2398.191,-2350.153,-2393.278,-2482.131,-2494.146,-2521.957,-2537.015,-2500.697,-2600.276,-2623.356,-2529.278,-2585.681,-2525.057,-2562.027,-2615.065,-2664.955,-2704.436,-2677.289,-2721.126,-2839.553,-2836.444,-2995.506,-3146.703,-3113.381,-3226.885,-3311.42,-3213.034,-3295.201,-3280.73,-3456.527
130,-2136.232,-2321.565,-2524.045,-2734.152,-2966.087,-3200.587,-3466.937,-3736.756,-4020.638,-4316.985,-4625.722,-4945.753,-5275.285,-5612.859,-5955.787,-6300.497,-6643.836,-6986.592,-7323.817,-7620.148,-7933.233,-8235.234,-8522.321,-8796.196,-9045.104,-9276.168,-9489.225,-9685.027,-9859.842,-10021.42,-10176.14,-10310.6,-10439.79,-10556.79,-10678.74,-10791.67,-10904.67,-11031.61,-11144.22,-11274.83,-11400.86,-11532.78,-11664.13,-11799.02,-11928.09,-12061.48,-12152.92,-12298.3,-12384.51,-12452.7,-12320.24,-12327.29,-12309.62,-12164.65,-11981.94,-11783.82,-11600.06,-11329.59,-10943.87,-10513.43,-10085.59,-9612.596,-9153.226,-8668.67,-8180.418,-7701.097,-7280.982,-6835.527,-6437.282,-6031.858,-5666.696,-5313.03,-4995.731,-4718.29,-4451.155,-4174.134,-3962.261,-3690.418,-3547.991,-3364.552,-3247.624,-3089.449,-2957.322,-2861.174,-2756.105,-2659.905,-2617.64,-2536.408,-2502.481,-2435.478,-2391.184,-2343.086,-2311.376,-2252.94,-2253.889,-2076.148,-2035.046,-2005.727,-2033.788,-2005.215,-1977.059,-1989.421,-1963.31,-1963.947,-1969.898,-1952.973,-1929.472,-1925.738,-1947.332,-1962.885,-2011.981,-2018.156,-1977.417,-1991.069,-1965.449,-1979.198,-2000.688,-1999.281,-2009.862,-2084.426,-2026.018,-2031.186,-2067.999,-2154.33,-2172.116,-2070.147,-2177.203,-2163.663,-2288.358,-2292.888,-2477.098,-2416.629,-2482.724,-2620.664,-2515.062,-2600.542,-2663.654,-2800.143,-2830.06,-2887.055,-2850.73
140,-2036.051,-2211.43,-2397.528,-2595.608,-2805.396,-3026.582,-3259.406,-3503.727,-3758.992,-4023.74,-4296.563,-4576.884,-4863.528,-5148.308,-5437.345,-5730.064,-6019.558,-6300.737,-6571.378,-6834.535,-7054.565,-7290.471,-7513.365,-7727.041,-7922.1,-8100.243,-8261.506,-8416.813,-8557.337,-8687.186,-8820.563,-8933.365,-9045.735,-9151.937,-9264.816,-9377.036,-9487.531,-9603.539,-9710.908,-9824.87,-9945.903,-9992.424,-10149.77,-10232.29,-10320.82,-10452.99,-10507.64,-10561.1,-10603.23,-10649.96,-10573.38,-10512.15,-10478.11,-10209.49,-10013.49,-9803.198,-9550.1,-9205.612,-8823.671,-8440.723,-8037.208,-7628.557,-7232.685,-6838.935,-6436.698,-6065.768,-5689.738,-5333.1,-4987.112,-4688.609,-4402.647,-4126.83,-3880.357,-3647.7,-3447.167,-3231.617,-3083.649,-2891.738,-2800.403,-2629.662,-2519.653,-2406.128,-2305.82,-2247.661,-2141.686,-2097.949,-2023.634,-1988.393,-1926.239,-1879.644,-1806.506,-1789.551,-1616.891,-1618.109,-1599.471,-1598.875,-1574.474,-1587.337,-1605.223,-1581.475,-1565.386,-1551.354,-1559.547,-1608.073,-1640.084,-1673.678,-1672.172,-1702.554,-1708.129,-1720.094,-1797.44,-1815.675,-1797.852,-1775.513,-1831.175,-1833.059,-1804.166,-1869.674,-1825.621,-1871.806,-1871.883,-1944.619,-1982.669,-2003.952,-2019.225,-2084.15,-2098.664,-2101.834,-2185.425,-2167.379,-2323.303,-2352.641,-2350.265,-2494.136,-2472.595,-2602.765,-2589.399,-2738.569,-2763.36,-2865.094,-2882.352
150,-1939.524,-2102.391,-2274.911,-2457.26,-2649.469,-2851.221,-3062.131,-3279.977,-3507.599,-3742.691,-3982.376,-4225.937,-4473.306,-4720.386,-4967.021,-5209.747,-5442.2,-5670.499,-5893.314,-6104.386,-6301.03,-6465.216,-6644.564,-6814.302,-6969.919,-7115.633,-7250.438,-7380.301,-7503.025,-7620.714,-7747.791,-7856.944,-7966.304,-8067.859,-8179.747,-8291.639,-8394.797,-8491.811,-8601.471,-8738.469,-8822.866,-8933.231,-9039.506,-9156.428,-9254.51,-9284.45,-9329.838,-9364.093,-9325.536,-9308.963,-9245.879,-9132.696,-8968.845,-8759.051,-8517.308,-8225.565,-7901.885,-7563.329,-7246.175,-6909.71,-6570.677,-6218.487,-5904.782,-5526.573,-5164.924,-4860.063,-4549.051,-4257.461,-4039.206,-3791.766,-3598.406,-3371.804,-3190.532,-3081.186,-2922.43,-2778.443,-2586.581,-2481.583,-2358.803,-2222.206,-2148.987,-2101.198,-2023.023,-1980.538,-1902.978,-1872.259,-1859.001,-1816.094,-1774.489,-1652.429,-1619.062,-1599.683,-1605.889,-1644.769,-1593.401,-1538.328,-1494.956,-1549.22,-1522.937,-1559.006,-1527.621,-1550.823,-1543.498,-1533.946,-1545.532,-1559.639,-1548.789,-1558.924,-1568.16,-1567.568,-1593.41,-1571.513,-1565.619,-1629.563,-1641.488,-1626.056,-1664.191,-1693.115,-1699.52,-1760.35,-1761.754,-1829.1,-1859.042,-1838.139,-1906.017,-1838.546,-1938.551,-1923.214,-1922.137,-1997.03,-2054.681,-2029.134,-2101.786,-2182.802,-2166.307,-2368.323,-2390.578,-2499.98,-2475.346,-2605.439,-2526.412
160,-1842.98,-1994.083,-2154.586,-2322.243,-2497.554,-2679.195,-2870.608,-3067.789,-3270.823,-3478.471,-3688.728,-3901.017,-4113.277,-4324.089,-4534.143,-4736.651,-4934.619,-5125.497,-5309.517,-5483.185,-5645.453,-5798.772,-5945.487,-6070.479,-6202.51,-6328.78,-6447.271,-6563.898,-6677.087,-6783.13,-6902.057,-7006.105,-7114.164,-7219.336,-7324.385,-7432.711,-7537.968,-7655.72,-7750.62,-7848.012,-7953.493,-8058.023,-8133.785,-8209.952,-8257.818,-8300.741,-8307.636,-8262.322,-8049.342,-8099.015,-7906.223,-7760.427,-7634.192,-7448.628,-7222.608,-6932.543,-6666.229,-6303.75,-5952.803,-5611.089,-5277.591,-5002.019,-4782.632,-4524.83,-4211.982,-3986.473,-3708.866,-3452.933,-3288.363,-3018.499,-2807.274,-2670.09,-2556.428,-2428.421,-2248.714,-2139.633,-2092.087,-1952.411,-1859.993,-1834.803,-1752.014,-1693.793,-1616.41,-1570.782,-1501.764,-1481.07,-1479.931,-1471.84,-1386.465,-1390.312,-1394.616,-1385.42,-1392.544,-1354.867,-1330.609,-1367.558,-1388.751,-1373.075,-1395.454,-1417.545,-1415.542,-1458.454,-1459.208,-1408.596,-1407.03,-1413.912,-1332.989,-1374.243,-1395.915,-1363.362,-1433.09,-1477.275,-1519.762,-1576.475,-1532.372,-1545.693,-1559.098,-1599.907,-1586.912,-1622.861,-1634.23,-1653.89,-1748.028,-1727.844,-1749.422,-1826.945,-1848.086,-1878.045,-1962.566,-2088.645,-2129.47,-2153.699,-2171.083,-2300.587,-2295.146,-2309.935,-2386.998,-2492.928,-2541.636,-2586.621,-2657.458
