Set Point (C),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140
310,-495.6505,-504.759,-511.0804,-515.0842,-516.8632,-516.5541,-514.162,-509.8417,-504.1438,-496.8586,-488.4691,-479.1372,-468.8087,-457.761,-445.8626,-432.7839,-419.6785,-406.1623,-392.588,-378.4805,-364.1379,-350.2349,-336.8611,-323.8748,-312.9394,-300.088,-287.4564,-274.9316,-263.8238,-251.4772,-241.8377,-230.0957,-220.5591,-210.295,-200.7683,-191.6372,-182.271,-174.7152,-165.774,-158.187,-151.0479,-144.7457,-138.5491,-132.4317,-126.8713,-121.7989,-116.8078,-111.1991,-107.5216,-103.4712,-99.66402,-96.45264,-93.2635,-89.98298,-87.27032,-84.74341,-82.55724,-80.15916,-77.93916,-76.0795,-74.70546,-72.86012,-71.80484,-70.45687,-69.43816,-68.01982,-67.59638,-66.41611,-65.90642,-65.2852,-65.2506,-65.10229,-65.11097,-65.18237,-64.42182,-63.52336,-63.90078,-62.35848,-63.72878,-63.4207,-64.22081,-63.7306,-63.56447,-64.35251,-63.30394,-63.30179,-64.38377,-64.55345,-64.5636,-64.03737,-64.31038,-64.6278,-64.74682,-64.21788,-63.65689,-64.29288,-64.11253,-63.9344,-63.87637,-64.19814,-64.47148,-64.6638,-64.34015,-62.91619,-63.21651,-63.49354,-62.42629,-63.06502,-62.87563,-62.95237,-63.6295,-61.67921,-62.42947,-61.16422,-62.42208,-65.04403,-63.84791,-66.46761,-67.53908,-67.2965,-70.60592,-71.14489,-71.06247,-73.22854,-76.46941,-80.41254,-81.80721,-83.5358,-84.60708,-86.95699,-87.78235,-88.89088,-91.36996,-98.25516,-98.66269,-101.5836,-99.60087,-102.7707,-103.3731,-102.1176,-103.5939
320,-416.7294,-420.6631,-422.9253,-426.0305,-425.2386,-421.8578,-416.8921,-410.8682,-403.5355,-394.9404,-385.4353,-375.326,-364.7392,-353.8533,-342.3906,-330.3844,-317.9226,-305.8073,-293.7478,-281.3637,-268.9489,-257.3312,-246.2245,-235.6058,-226.7453,-216.5836,-206.5849,-196.8468,-188.4382,-179.1221,-172.1653,-163.3591,-156.5571,-149.1246,-142.3584,-135.8914,-129.2803,-124.2667,-118.131,-113.0122,-108.2506,-104.1115,-100.0548,-96.0557,-92.42889,-89.20443,-86.07803,-82.25754,-79.77647,-77.26901,-74.13535,-72.04328,-70.00441,-68.4864,-65.30827,-63.74291,-62.5557,-61.39787,-60.40231,-59.46083,-56.70554,-54.05339,-54.60641,-54.88006,-54.37272,-53.79957,-52.93998,-52.36229,-51.94814,-51.63196,-51.24297,-51.02443,-51.07052,-50.90157,-50.32879,-49.81872,-49.98104,-49.00726,-49.36224,-49.15737,-49.58359,-49.18259,-48.73488,-49.30125,-48.56089,-48.72013,-49.02447,-49.03582,-48.79471,-48.85976,-49.27836,-49.18505,-48.91194,-49.0498,-48.88836,-48.73399,-48.2575,-48.3774,-48.18775,-48.9978,-48.37407,-47.94749,-47.62969,-47.85701,-46.9629,-46.76439,-47.82068,-47.76892,-48.04691,-48.28145,-49.29642,-48.78854,-48.62959,-48.40768,-48.62421,-48.31816,-48.85786,-49.41776,-49.99476,-51.21212,-52.90747,-54.20631,-52.11702,-53.9524,-53.21314,-55.05527,-56.79067,-58.58703,-60.0511,-62.62131,-62.6069,-63.46085,-65.29813,-68.30183,-69.62477,-70.49393,-70.58939,-74.61909,17.05168,89.38235,74.92299
330,-346.5293,-349.8055,-349.7174,-346.6796,-343.3822,-338.0588,-332.1421,-325.0163,-316.877,-308.1736,-298.6848,-289.298,-279.6124,-271.0924,-258.9015,-248.1913,-237.7109,-227.3711,-217.228,-206.9264,-196.6476,-186.9172,-178.1628,-169.8092,-163.128,-155.1663,-147.5854,-140.0875,-134.0523,-127.1001,-122.2419,-115.8295,-111.1089,-105.8272,-101.0247,-96.34492,-91.54807,-88.37357,-84.08475,-80.63456,-77.51706,-74.81496,-72.1394,-69.55824,-67.17163,-65.00537,-62.84464,-60.4573,-58.92171,-57.37402,-55.72899,-54.39528,-53.08649,-51.80842,-50.59117,-49.5008,-48.78945,-47.89084,-47.30792,-46.54403,-45.95214,-45.2326,-44.83868,-44.51054,-44.22226,-43.9463,-43.51879,-43.30193,-43.26926,-43.23365,-43.31448,-42.64424,-43.2962,-43.56242,-43.57943,-43.04432,-43.73692,-43.23994,-43.97249,-44.00626,-44.24334,-44.33917,-43.96495,-44.59057,-44.306,-44.35942,-44.75565,-44.62127,-44.42715,-44.4433,-44.67157,-44.93201,-44.63625,-44.66683,-44.02221,-44.32462,-44.0434,-43.76359,-43.34572,-43.14323,-42.74896,-42.28433,-41.94769,-41.77683,-41.11977,-40.85761,-40.5745,-40.42628,-40.52478,-39.99699,-40.10496,-40.47123,-40.00673,-39.98763,-41.4828,-41.0482,-41.38727,-41.1921,-41.52762,-42.64966,-43.46632,-44.1812,-45.0132,-43.34124,-43.6344,-44.30231,-45.09421,-45.63224,-47.94464,-48.38252,-48.82234,-50.07459,-50.4695,-53.97779,-53.30015,-54.68843,-56.86713,-43.23557,-0.863792,26.02036,21.95771
340,-290.955,-289.9066,-287.0609,-283.1744,-278.1113,-272.0064,-264.9572,-257.2887,-249.0852,-240.5264,-231.7367,-222.7254,-213.9408,-204.9202,-195.9485,-186.57,-177.8057,-169.0579,-160.6472,-152.2612,-144.0957,-136.529,-129.5159,-122.9072,-117.898,-111.7917,-105.9985,-100.1969,-95.28865,-90.13531,-86.71105,-82.06869,-78.90075,-75.16704,-71.78177,-68.653,-65.31375,-63.10661,-60.13083,-57.78936,-55.61378,-53.83258,-52.03151,-50.31793,-48.76133,-47.33844,-45.73758,-43.87452,-42.98253,-41.90207,-40.91985,-40.08562,-39.16557,-38.25313,-37.51221,-36.59771,-36.13382,-35.87989,-35.4101,-34.95873,-34.5352,-34.18108,-34.03702,-33.80183,-33.74781,-33.48479,-33.09167,-32.97056,-32.81162,-32.86129,-32.95253,-32.95682,-33.32138,-33.49205,-33.40226,-33.06175,-33.4207,-33.02092,-33.44931,-33.40396,-33.80237,-33.78389,-33.33635,-33.95931,-33.58507,-34.02226,-34.54544,-34.33705,-34.0847,-33.78222,-34.31936,-34.152,-34.41457,-34.64967,-34.44428,-34.15862,-33.74414,-33.78772,-33.86892,-32.9908,-32.5525,-32.2057,-31.35304,-31.4663,-30.77092,-30.46506,-30.35135,-31.42201,-31.04839,-30.78094,-31.00673,-30.97924,-30.62159,-30.59484,-31.48964,-31.62023,-32.02229,-32.44154,-32.7336,-32.7253,-34.2804,-33.9062,-34.62842,-34.08705,-35.06926,-36.36982,-36.56068,-36.04588,-37.4682,-38.84869,-38.79043,-39.84868,-40.30989,-37.56911,-34.75789,-42.15551,-16.76544,5.206208,11.59405,25.7443,19.65485
350,-242.7184,-239.1914,-235.4288,-230.6426,-224.8311,-218.3501,-211.3284,-203.8455,-196.0795,-188.1041,-180.0241,-171.9962,-164.119,-156.3349,-148.7124,-140.9654,-133.5069,-126.3109,-119.4231,-112.7128,-106.1678,-100.2276,-94.77612,-89.72801,-86.32603,-81.64417,-77.31464,-73.0044,-69.65174,-65.79104,-63.18675,-59.71875,-57.30103,-54.58451,-52.16752,-49.90653,-47.56622,-45.97997,-43.86341,-42.22727,-40.72099,-39.50742,-38.26017,-37.02661,-35.99263,-35.04315,-34.12635,-33.0171,-32.39122,-31.63416,-31.0353,-30.51678,-29.98076,-29.41259,-28.97416,-28.57848,-28.27362,-27.90329,-27.61193,-27.36821,-27.17772,-26.91298,-26.86464,-26.72572,-26.68727,-26.61603,-26.46165,-26.33061,-26.43903,-26.30579,-26.16809,-26.12836,-26.11596,-26.22544,-26.41905,-26.37054,-26.76982,-26.46648,-26.82802,-26.77915,-26.82696,-26.76056,-26.47632,-27.00589,-26.93426,-27.01046,-27.52874,-27.45597,-27.41451,-27.22308,-27.37691,-27.48153,-27.32226,-27.14552,-26.81262,-26.48455,-26.39452,-26.49964,-26.32932,-26.00094,-25.79216,-25.66701,-25.32004,-24.69497,-24.09919,-23.87722,-23.94781,-24.40545,-24.25485,-24.11192,-23.90903,-23.73032,-24.03993,-24.35085,-24.7848,-24.24794,-24.25884,-24.21089,-25.66275,-26.57733,-26.71511,-26.02408,-27.23688,-27.3097,-27.57788,-27.92612,-27.97808,-28.7383,-29.09948,-30.40669,-1.653993,29.94312,30.1928,33.43489,30.41264,37.17596,40.75638,28.83946,16.87055,40.31647,24.87304
360,-202.7152,-200.1329,-196.0426,-191.1354,-185.5138,-179.3584,-172.8505,-166.3816,-159.0235,-152.0965,-145.0195,-137.9961,-131.0752,-124.2471,-117.697,-111.3861,-103.8784,-97.57145,-91.90952,-86.59821,-81.88718,-77.32168,-73.62135,-69.83717,-67.26537,-63.75963,-60.37098,-56.92804,-54.27414,-51.31012,-49.03027,-46.41978,-44.64905,-42.59332,-40.75377,-39.06574,-37.25525,-36.12259,-34.40376,-33.21042,-32.11467,-31.20492,-30.28028,-29.39416,-28.57822,-27.85971,-27.14839,-26.21713,-25.8106,-25.27081,-24.7507,-24.34324,-23.98239,-23.56037,-23.26344,-22.90446,-22.70103,-22.45681,-22.26348,-22.12817,-22.05585,-21.91006,-21.96594,-21.93046,-21.9369,-21.9891,-21.82732,-21.95683,-22.07688,-22.05242,-22.04182,-22.17084,-22.57152,-22.86804,-23.0283,-23.08538,-23.36568,-23.29239,-23.83713,-23.94502,-23.86443,-24.09062,-24.24132,-24.75137,-24.79496,-24.92345,-25.14705,-25.70525,-25.82644,-25.75028,-25.88209,-25.5466,-25.23322,-25.474,-25.31491,-25.16809,-25.502,-25.37701,-25.06398,-24.62043,-24.33331,-24.05353,-24.3175,-23.90666,-23.69607,-23.90252,-23.48133,-22.91283,-23.41277,-23.12415,-23.23574,-23.08311,-23.14621,-22.63149,-22.85412,-22.70137,-23.16949,-23.01316,-23.08846,-23.3261,-23.91058,-23.71362,-23.58682,-24.04387,-24.08111,-24.91992,-24.77593,-25.25982,-24.82866,-25.27447,-24.86153,-23.09603,-13.47792,3.660828,5.010358,4.931404,12.92319,16.81489,23.11782,31.85543,19.47512
370,-170.8826,-167.0372,-162.5496,-157.3911,-151.763,-145.8486,-139.7564,-133.433,-127.1039,-120.7534,-114.4947,-108.428,-102.5927,-96.96297,-91.55012,-86.17934,-81.06232,-76.2313,-71.66295,-67.25647,-62.98732,-59.21138,-55.8412,-52.78693,-50.24822,-47.44822,-44.95205,-42.4896,-40.56822,-38.34266,-36.98736,-34.99965,-33.72155,-32.22429,-30.90965,-29.69739,-28.37485,-27.6148,-26.41819,-25.52532,-24.74452,-24.13303,-23.44931,-22.79311,-22.22462,-21.7206,-21.22625,-20.52988,-20.27709,-19.85802,-19.50642,-19.22909,-18.94406,-18.66289,-18.43246,-18.23535,-18.09901,-17.92377,-17.7995,-17.65022,-17.59496,-17.4859,-17.50272,-17.46521,-17.51771,-17.50662,-17.35895,-17.30919,-17.37551,-17.39136,-17.43818,-17.435,-17.71738,-17.86098,-17.84098,-17.72617,-17.89855,-17.59144,-18.31889,-18.49816,-18.57564,-18.76723,-18.86824,-19.13663,-18.76037,-18.81334,-19.11098,-19.11572,-19.18202,-19.27219,-19.23283,-19.16632,-19.58317,-19.51328,-19.28131,-19.18493,0.0,-18.7702,-18.73751,-18.59401,-18.21333,-18.20963,-18.05251,-17.38349,-17.24378,-16.9811,-16.94423,-16.4972,-16.49896,-16.63848,-16.64621,-16.83499,-16.4173,-16.34203,-16.73929,-16.98293,-16.67335,-16.87057,-16.63102,-16.9947,-17.20642,-17.31112,-17.26455,-17.4436,-17.36496,-17.26117,-17.66803,-18.25655,-11.36842,5.177303,1.826528,9.390996,7.501923,17.65502,20.50525,23.89839,26.91771,28.29569,23.48975,24.86338,29.19242
380,-143.2595,-139.9674,-135.7661,-131.4522,-126.6341,-121.4827,-116.142,-110.7353,-105.2287,-99.77682,-94.45801,-89.3196,-84.41303,-79.67435,-75.14466,-70.62485,-66.32646,-62.30074,-58.47929,-54.80572,-51.26482,-48.15247,-45.39588,-42.87426,-41.23526,-38.9365,-36.83111,-34.81957,-33.23847,-31.39274,-30.27817,-28.64586,-27.58628,-26.37611,-25.35126,-24.38051,-23.29168,-22.68061,-21.71851,-21.0264,-20.40499,-19.91448,-19.38709,-18.91308,-18.51744,-18.10821,-17.73177,-17.16125,-17.0036,-16.70837,-16.42648,-16.24009,-16.02331,-15.82134,-15.66923,-15.52176,-15.44982,-15.35596,-15.28862,-15.24212,-15.22275,-15.05304,-15.09374,-14.98444,-15.15427,-15.21995,-15.28045,-15.31418,-15.43465,-15.49595,-15.39772,-15.47328,-15.63311,-16.04581,-16.35413,-16.33083,-16.79117,-16.68921,-17.02166,-17.38067,-17.50845,-17.54732,-17.53174,-18.02769,-18.06192,-18.17045,-18.439,-18.66144,-18.70233,-18.94055,-18.92645,-19.0704,-19.01319,-18.75113,-18.65371,-18.62645,-18.73646,-18.64824,-18.04888,-17.9026,-17.73312,-17.48275,-17.25734,-16.99693,-16.98442,-16.55569,-16.12241,-16.07691,-15.99266,-15.9266,-15.59746,-15.47787,-15.57942,-15.31016,-15.39684,-15.40179,-15.77609,-15.6113,-15.93101,-15.67567,-15.99211,-15.84745,-15.73244,-15.01294,-15.5196,-15.35407,-15.4677,-13.95398,-9.465638,11.29812,14.17674,21.67007,28.37523,32.35305,26.29351,33.57127,29.05129,28.09353,20.25455,23.92855,23.19611
390,-124.1011,-121.9845,-118.1696,-114.1109,-110.046,-105.3924,-100.6065,-95.77051,-90.9367,-86.23376,-81.59189,-77.15031,-72.89756,-68.78255,-64.87947,-61.00459,-57.27808,-53.77047,-50.51712,-47.35506,-44.29007,-41.57783,-39.18334,-37.01066,-35.64681,-33.61448,-31.76695,-28.77519,-27.3893,-25.8003,-24.84779,-23.45139,-22.52597,-21.47204,-20.50462,-19.62556,-19.57748,-19.2809,-18.42752,-17.8231,-17.27231,-16.88543,-16.43782,-15.97493,-15.61283,-15.3093,-14.9984,-14.53889,-14.43069,-14.18404,-12.93871,-13.56422,-12.76367,-12.52596,-12.68703,-12.56387,-12.4168,-12.39476,-12.39111,-12.40372,-12.45907,-12.45333,-12.57428,-12.62016,-12.67865,-12.80407,-12.93065,-13.00761,-13.10002,-13.11888,-13.16098,-13.45619,-13.63293,-13.88049,-14.05765,-14.14807,-14.50971,-14.48957,-14.9171,-15.0072,-15.26497,-15.43335,-15.39551,-15.69913,-15.84393,-15.92789,-16.08508,-16.40429,-16.51017,-16.38797,-16.71919,-16.53197,-16.44177,-16.46905,-16.48037,-16.48962,-16.46724,-16.47793,-16.23016,-15.83434,-15.72353,-15.4303,-15.2593,-15.42009,-14.89819,-14.80327,-14.40736,-14.18782,-14.41166,-14.07011,-14.0378,-14.08215,-13.8889,-14.09108,-13.79638,-13.79816,-13.46051,-13.78284,-14.03608,-13.81692,-11.8914,0.5424147,8.446861,9.973711,13.10769,15.58657,17.03531,20.24274,20.04598,19.90769,20.10079,22.02497,22.79839,13.74345,23.70067,20.08993,20.93595,20.38435,25.37543,17.77962,19.53295
400,-108.1025,-105.1488,-101.694,-97.99684,-94.10651,-90.20306,-86.08015,-81.95539,-77.85191,-73.80793,-69.87688,-66.10361,-62.49969,-59.03954,-55.74205,-52.41087,-49.28728,-46.32118,-43.53716,-40.82148,-38.1827,-35.87991,-33.83101,-31.95426,-30.87906,-29.07924,-27.3643,-25.69752,-24.44611,-23.06868,-22.38119,-21.07075,-20.18104,-19.27898,-18.47312,-17.7805,-17.06876,-16.61457,-15.79994,-15.23605,-14.77662,-14.05736,-14.08777,-13.15396,-13.26345,-12.60484,-12.5286,-12.09298,-11.74498,-11.59019,-11.45667,-11.30711,-11.29436,-11.32179,-11.17018,-10.9942,-10.95904,-10.84842,-10.91525,-10.94446,-11.00373,-10.99378,-11.10845,-11.13893,-11.31416,-11.21369,-11.07643,-11.26226,-11.36484,-11.75698,-11.67535,-11.77591,-11.83642,-12.40549,-12.61963,-12.82409,-12.75624,-13.1356,-13.63324,-13.82521,-13.98392,-14.14588,-14.14609,-14.55393,-14.55452,-14.63734,-14.67593,-14.8093,-14.68304,-14.55636,-14.72114,-14.76452,-14.69602,-14.97242,-14.95457,-14.7858,-14.70204,-14.8489,-14.69454,-14.67537,-14.69167,-14.56681,-14.29779,-14.26296,-14.00455,-13.78535,-13.24055,-13.07305,-12.98346,-13.02646,-13.01926,-12.91017,-12.78646,-12.71624,-12.61653,-12.46588,-12.37951,-11.78963,-3.798565,-7.627122,-5.882782,-1.249129,5.991616,14.89352,20.7825,23.10424,22.81008,22.14031,25.79196,25.00766,23.40172,24.48995,24.22643,18.86234,18.08889,18.61941,19.19243,15.54223,16.62303,13.13942,14.12614
410,-92.73783,-90.12923,-87.13306,-83.89047,-80.4904,-77.01868,-73.51486,-69.99305,-66.51625,-63.0995,-59.77557,-56.60483,-53.58559,-50.6715,-47.88917,-45.09142,-42.44421,-39.94344,-37.59316,-35.29678,-33.07806,-31.1406,-29.4121,-27.82181,-26.97918,-25.43799,-24.13829,-22.74675,-21.75935,-20.55615,-19.84439,-18.76246,-18.07827,-17.29476,-16.58942,-15.94349,-15.19753,-14.80526,-14.15883,-13.6963,-13.33776,-13.15037,-12.79927,-12.34185,-12.08194,-11.82139,-11.58542,-11.24656,-11.14613,-11.02894,-10.89091,-10.7739,-10.67247,-10.54871,-10.4858,-10.42749,-10.40856,-10.38828,-10.36432,-10.37569,-10.43379,-10.43175,-10.53473,-10.62972,-10.76939,-10.87959,-11.00504,-11.1192,-11.1989,-11.32199,-11.50904,-11.68675,-12.01466,-12.10299,-12.3548,-12.42147,-12.69199,-12.70054,-13.06246,-13.2414,-13.48142,-13.70825,-13.69855,-14.10529,-14.1566,-14.28049,-14.59069,-14.75438,-14.81669,-14.79561,-14.92581,-15.00378,-15.05684,-15.02085,-14.98748,-14.91662,-14.84785,-14.62735,-14.44833,-14.34469,-14.14338,-13.85493,-13.75221,-13.69427,-13.24976,-13.21644,-12.9745,-12.80458,-12.85644,-12.83763,-12.88702,-12.58424,-12.3222,-12.27807,-12.38521,-12.34176,-12.36615,-0.2439143,9.254057,11.7627,17.89489,17.35104,18.87954,19.84104,20.96663,18.98271,18.29327,16.91526,16.55293,17.79879,15.66532,16.45942,11.97957,12.68121,14.4608,10.23585,12.9519,11.9585,12.82337,9.002279,11.53113
420,-81.16354,-78.30846,-76.77227,-73.25889,-70.13298,-67.1715,-64.16009,-61.60093,-58.95201,-55.23541,-52.41574,-49.6793,-47.61673,-44.76766,-42.18898,-39.76242,-37.72658,-35.74171,-33.75937,-31.33183,-29.41302,-27.74717,-26.26555,-24.89341,-24.22544,-22.87292,-21.72366,-20.49323,-19.38651,-18.14923,-17.50919,-16.51066,-15.94761,-15.24768,-14.63153,-14.05453,-13.43611,-13.01465,-12.44549,-12.15777,-11.78028,-11.55198,-11.37847,-11.16806,-10.96375,-10.6616,-10.40226,-10.08621,-10.01606,-9.912786,-9.802752,-9.714675,-9.645219,-9.568789,-9.517519,-9.511325,-9.515017,-9.520508,-9.557556,-9.678131,-9.748854,-9.765278,-9.894446,-9.982675,-10.03332,-10.27943,-10.33392,-10.372,-10.42407,-10.50522,-10.89296,-11.02215,-11.28156,-11.26755,-11.52077,-11.53988,-11.85084,-12.06421,-12.41205,-12.6227,-12.91662,-12.91163,-12.81361,-13.20321,-13.46618,-13.69902,-14.07444,-14.10175,-14.3292,-14.35558,-14.49641,-14.63725,-14.70259,-14.67127,-14.71378,-14.74524,-14.7398,-14.58501,-14.39837,-14.41373,-14.22381,-14.08949,-13.55606,-13.31949,-13.07032,-12.92843,-12.6535,-12.3377,-12.33618,-12.23636,-12.22266,-12.04018,-11.88544,-11.88713,-11.77986,-11.19895,-6.165454,3.289425,8.441116,13.4936,16.52637,17.50746,18.69943,17.75064,21.34576,19.05693,20.13587,22.34053,16.85778,14.53917,14.14148,15.47185,14.4829,12.30668,15.97292,11.75625,11.49356,9.501788,10.57396,9.991593,10.36179
430,-70.68811,-68.12814,-65.94123,-63.53588,-61.03818,-59.20682,-56.62549,-54.03856,-51.45652,-48.95433,-46.52171,-44.24097,-42.01459,-39.85147,-37.79415,-35.68401,-33.7258,-31.85615,-30.10179,-28.43473,-26.74895,-25.2749,-23.955,-22.75705,-22.00181,-20.64398,-19.44983,-18.44653,-17.85891,-16.80288,-16.20806,-15.27685,-14.75357,-14.05287,-13.50712,-12.98925,-12.39917,-12.10189,-11.54786,-11.15253,-10.78116,-10.58525,-10.32113,-10.0212,-9.900248,-9.768013,-9.574374,-9.321106,-9.2813,-9.10348,-9.032722,-9.204166,-9.102286,-8.982977,-8.994067,-9.011277,-8.960744,-8.972665,-8.967019,-9.042908,-9.102149,-9.158971,-9.201314,-9.293474,-9.470909,-9.602117,-9.685239,-9.766122,-9.748868,-9.905915,-10.11182,-10.29109,-10.51836,-10.64694,-10.79235,-10.85325,-11.2441,-11.30284,-11.6766,-11.74707,-11.88169,-12.07401,-12.16389,-12.38473,-12.44393,-12.67518,-13.01991,-13.073,-13.23818,-13.27991,-13.49961,-13.47842,-13.72337,-13.68656,-13.65655,-13.48031,-13.33607,-12.99329,-12.74286,-13.14131,-12.86708,-12.95864,-12.58244,-12.68167,-12.55017,-12.42631,-11.94994,-12.23115,-12.37048,-11.42513,-11.71901,-11.70548,-11.23425,-10.87338,-10.71169,-10.68998,-11.10861,-8.004424,-7.453552,-5.927596,3.935403,6.893445,6.698151,6.375193,5.396922,5.615524,11.35976,10.95884,13.20835,13.40934,14.42437,15.73164,15.48869,11.24288,15.83893,13.16351,14.49468,13.07223,18.08435,11.49678,13.65019
440,-58.42315,-57.00351,-55.40894,-53.75796,-51.90861,-49.81562,-47.74366,-45.69267,-43.66245,-41.64986,-39.66058,-37.81091,-36.16083,-34.37474,-32.72679,-30.96488,-29.31065,-27.75871,-26.24392,-24.79636,-23.39926,-22.14211,-21.02693,-20.02248,-19.55051,-18.57444,-17.61402,-16.72161,-16.09056,-15.2722,-14.88019,-14.05141,-13.64569,-13.07872,-12.59279,-12.14161,-11.63009,-11.31274,-10.76629,-10.4971,-10.265,-10.06834,-9.86184,-9.567858,-9.265597,-9.197638,-9.055456,-8.855625,-8.806708,-8.692058,-8.533719,-8.512151,-8.510323,-8.375012,-8.300438,-8.231394,-8.343687,-8.405946,-8.506766,-8.475574,-8.416297,-8.450956,-8.520264,-8.67513,-8.746801,-8.929893,-9.00395,-9.028464,-9.243223,-9.239315,-9.481008,-9.577673,-9.555631,-9.589077,-9.606368,-9.657821,-9.965765,-9.84485,-10.35678,-10.49615,-10.78069,-10.92023,-10.96876,-11.28786,-11.31852,-11.46521,-11.75821,-11.90825,-11.99327,-12.00699,-12.01347,-12.22228,-12.23033,-12.09122,-12.11252,-11.99912,-12.20698,-12.21537,-12.15054,-12.04703,-11.98154,-11.77188,-11.64221,-11.66037,-11.51498,-11.34799,-11.58764,-10.99149,-11.55349,-11.01171,-11.00669,-11.01374,-11.09585,-10.85014,-10.9644,-9.99805,-7.779244,-1.726304,-1.266706,-0.6337587,-2.365443,0.5375373,4.169163,6.651031,11.51904,12.25665,11.94902,10.15545,9.799056,13.42932,11.96836,13.76401,13.14263,11.4991,11.84072,9.901456,10.99733,9.710027,7.099994,7.987332,7.335546
450,-50.99653,-49.64405,-48.18044,-46.71749,-45.31647,-43.58223,-41.7952,-40.01429,-38.21592,-36.44347,-34.82675,-33.27369,-31.76185,-30.31127,-28.87201,-27.40547,-26.01782,-24.67488,-23.41346,-22.142,-20.89673,-19.81009,-18.8563,-17.98879,-17.61872,-16.77654,-15.9792,-15.18884,-14.64756,-13.87956,-13.47577,-12.75811,-12.35666,-11.81083,-11.36573,-10.98696,-10.52994,-10.32123,-9.872715,-9.578733,-9.351871,-9.181938,-9.001666,-8.788217,-8.637478,-8.548233,-8.43557,-8.227735,-8.205923,-8.117182,-8.035476,-8.045428,-8.012284,-7.786307,-7.915293,-7.940652,-7.939493,-7.975965,-8.038219,-7.981181,-7.817912,-7.751345,-7.52184,-8.094116,-8.4314,-8.440385,-8.56976,-8.611769,-8.75648,-8.858793,-9.034404,-9.114761,-9.376153,-9.38563,-9.504327,-9.55216,-9.81717,-10.01333,-10.16391,-10.27249,-10.62978,-10.73475,-10.61907,-10.76722,-10.80194,-11.11005,-11.61375,-11.75444,-11.73685,-11.77127,-11.74626,-11.92755,-11.81827,-11.87116,-11.69236,-11.76383,-11.62525,-11.49519,-11.37547,-11.28947,-11.31341,-11.00786,-10.78319,-10.68344,-10.60689,-10.45376,-10.13645,-10.17413,-10.01156,-10.28263,-10.21948,-10.28723,-7.440302,-1.283806,-0.4824802,1.43704,2.629964,2.04788,4.396631,4.310574,7.897981,8.796638,8.373266,10.12145,10.84461,12.16109,12.29747,14.91906,10.329,10.32345,10.43391,10.99001,10.70749,7.291743,7.729328,9.133318,6.708105,6.249822,6.858437,6.222067,5.906398
